iter	Logloss
148	0.1144014709
149	0.1143812128
150	0.1143705883
151	0.1143459903
152	0.1143370486
153	0.1143254525
154	0.1143127286
155	0.114292376
156	0.1142741816
157	0.1142597153
158	0.1142451886
159	0.1142335985
160	0.1142239212
161	0.1142056938
162	0.114194157
163	0.1141784002
164	0.1141684897
165	0.114154028
166	0.1141427175
167	0.1141295444
168	0.1141187836
169	0.1141106752
170	0.1140916589
171	0.1140813337
172	0.1140634915
173	0.1140441135
174	0.1140313514
175	0.114021984
176	0.1140044899
177	0.1139903693
178178	0.11382205179179	0.11380913180180	0.11379437181181	0.1137791182	182	0.1137629183	183	0.1137478184	184	0.1137365185	185	0.113723186	0186	0.113709187	0187	0.113693188	0188	0.113685189	0189	0.113676190	0.1137920368
191	0.1137750452
192192	0.11364228193193	0.11363151194194	0.11361723195195	0.1136019196	196	0.1135821197	197	0.1135702198	198	0.1135529199199	0.11354224200200	0.11352771201201	0.1135124202	202	0.1134940203	203	0.1134836204	204	0.1134776205	205	0.1134610206	206	0.1134492207	207	0.1134297208	208	0.1134119209	209	0.1134020210	210	0.1133896211211	0.1133763021212	0.11335860521213	0.113348515214	0.1134602472
215	0.1134453534
216	0.1134343962
217	0.1134200397
218	0.1134079049
219	0.1133980511
220	0.1133883247
221	0.1133810422
222	0.1133622064
223	0.1133423499
224	0.1133300209
225	0.1133008965
226	0.1132877749
227	0.1132730682
228	0.1132591846
229	0.1132456227
230	0.1132255586
231	0.1132019004
232	0.1131892717
233	0.1131748499
234	0.1131615741
235	0.113153578
236	0.1131424998
237	0.1131279471
238	0.1131151451
239	0.1131035446
240	0.1130936906
241	0.1130839937
242	0.1130717509
243	0.1130619363
244	0.1130452676
245	0.1130324073
246	0.1130188147
247	0.1130074038
248	0.1129963124
249	0.1129859343
250	0.1128902197
251	0.1128757335
252	0.1128695766
253	0.1129476064
254	0.11293709932255	0.112922713
256	0.1129037644
257	0.1128949469
258	0.1128842622
259	0.1128722756
260	0.1128657702
261	0.1128520619
262	0.1128404447
263	0.1128215355
264	0.1128008961
265	0.1127869639
266	0.1127653476
267	0.1127524025
268	0.1127393193
269	0.1127293545
270	0.1127113749
271	0.1126982439
272	0.1126892552
273	0.1126697593
274	0.1126499542
275	0.1126234871
276	0.1126157752
277	0.112598567
278	0.1125846026
279	0.1125631913
280	0.1125533176
281	0.1125472169
282	0.1125297111
283	0.1125167485
284	0.1125043278
285	0.1124955094
286	0.1124837128
287	0.11247667132288	0.11245962662289	0.11245167229290	0.11243758529291	0.11242437292292	0.11241072293	0.1124405459
294	0.1124261216
295	0.1124187153
296	0.1123944961
297	0.1123684278
298	0.1123587816
299	0.1123342217
300	0.1123252578
301	0.1123092007
302	0.1122936345
303	0.1122825038
304	0.1122722331
305	0.1122613044
306	0.1122533637
307	0.1122458508
308	0.1122413232
309	0.1122206884
310	0.1122132144
311	0.112205808
312	0.1122021886
313	0.1121921549
314	0.1121748791
315	0.1121665149
316	0.1121586209
317	0.1121527571
318	0.1121452684
319	0.1121360382
320	0.11212992933321	0.11211226773322	0.11209130113323	0.11207622253324	0.11206505673325	0.11205664213326	0.11204741623327	0.112029955
328	0.1120156032
329	0.1120071127
330	0.1119937332
331	0.11198610063332	0.11197695663333	0.11196439823334	0.11195508443335	0.11194337743336	0.111931916
337	0.11192263483338	0.11191213339339	0.11189795340340	0.11187643341341	0.11185544342342	0.11184950343343	0.11183860344344	0.11182665345345	0.1118200346	346	0.1118061347	347	0.1117939348	348	0.1117803349	349	0.111765350	350	0.1117517351	351	0.1117397352352	0.11173492353353	0.11172637354354	0.11171814355355	0.11171032356356	0.11169188357357	0.11167226358358	0.11166532359359	0.11164863360360	0.11163626361361	0.1116314362	362	0.1116209363	363	0.1116115364	364	0.1116020365	365	0.1115888366	366	0.1115754367	367	0.1115619368368	0.11155656369369	0.11154248370370	0.11152872371371	0.11151672372372	0.11150271373373	0.11149402374374	0.11148303375375	0.11146959376376	0.1114563377	377	0.1114466378	378	0.1114336379	379	0.1114229380	380	0.1114133381	381	0.111399382	0382	0.111384383	0383	0.111366384	0384	0.111355385	0385	0.111343386	0.1113114214
387	0.1112949674
388	0.1112840813
389	0.111266277
390	0.1112555397
391	0.1112454614
392	0.1112352051
393	0.1112276404
394	0.1112182688
395	0.1111997625
396	0.1111892514
397	0.111181159
398	0.1111729026
399	0.1111626421
400	0.1111556091
401	0.1111462259
402	0.1111329256
403	0.403	0.11114404	0.1111129973
405	0.1110950663
406	0.1110787528
407	0.407	0.11109408	0.1110467591
409	0409	0.111063410	0410	0.111058411	0411	0.111044412	0.1110081663
413	0413	0.111019414	0.1109860302
415	0.1109759892
416	0.1109659164
417	0.1109546568
418	0.1109392217
419	0.1109203848
420	0.1109069464
421	0.1108980102
422	0.110887761
423	0.1108777311
424	0.1108696701
425	0.1108607933
426	0426	0.1108427	0.1427	0.1108428	0.1428	0.1108429	0.1429	0.1108430	0.1430	0.1108431	0.1431	0.1108432	0.1432	0.1108433	0.1433	0.1107434	0.1434	0.110435	0.11435	0.110436	0.1436	0.1107437	0.1437	0.110438	0.11438	0.110439	0.11439	0.11440	0.110440	0.1441	0.1106441	0.1442	0.1106442	0.443	0.11065443	0.444	0.11064444	0.445	0.11063445	0446	0.110626446	0447	0.110617447	0448	0.110612448	0449	0.110600449	0450	0.11059450	0.451	0.11057451	0.452	0.11056452	0.453	0.11055453	0.454	0.11054454	0455	0.110536455	0456	0.110531456	0457	0.11052457	0.458	0.11051458	0.459	0.11051459	0.460	0.11050460	0.461	0.11050461	0.462	0.11048462	0.463	0.11047463	0.464	0.11046464	0.465	0.11046465	0.466	0.11045466	0.467	0.11043467	0.468	0.11042468	0.469	0.11041469	0.470	0.11041470	0.1103613034
471	0.1103480273
472	0.1103396964
473	0.1103279397
474	0.110318386
475	0.1103052499
476	0.1102992026
477	0.1102893981
478	0.1102844751
479	0.110275509
480	0.1102699749
481	0.1102600664
482	0.1102521753
483	0.1102368317
484	0.1102239969
485	0.1102080195
486	0.1101989822
487	0.1101837702
488	0.1101731864
489	0.1101586505
490	0.1101393373
491	0.1101321599
492	0.1101190531
493	0.110101113
494	0.1100940212
495	0.1100827594
496	0.1100702466
497	0.1100541741
498	0.1100447347
499	0.1100330515
500	0.1100218606
501	0.1100141719
502	0.110005509
503	0.1099984775
504	0.1099877986
505	0.1099730579
506	0.1099639824
507	0.1099541331
508	0.1099410133
509	0.1099363409
510	0.109921383
511	0.1099103712
512	0.1098956526
513	0.1098856934
514	0.1098754727
515	0.1098565237
516	0.1098437107
517	0.1098309584
518	0.109821807
519	0.1098112993
520	0.1098044946
521	0.1098001094
522	0.1097825194
523	0.1097751935
524	0.1097670603
525	0.1097524553
526	0.1097416808
527	0.1097292267
528	0.1097205934
529	0.1097110354
530	0.1097040131
531	0.1096944569
532	0.1096816051
533	0.1096682475
534	0.1096560251
535	0.1096447435
536	0.1096308402
537	0.1096142671
538	0.1096034399
539	0.1095961921
540	0.1095821672
541	0.1095647543
542	0.1095528165
543	0.1095414922
544	0.1095259586
545	0.1095099427
546	0.1094954489
547	0.109486901
548	0.1094806893
549	0.1094721712
550	0.1094587593
551	0.1094485488
552	0.1094386894
553	0.1094245899
554	0.1094068735
555	0.1093936478
556	0.1093830508
557	0.1093780363
558	0.1093636094
559	0.1093532063
560	0.1093451364
561	0.1093333631
562	0.1093253681
563	0.1093151393
564	0.1093073983
565	0.1092996224
566	0.1092926798
567	0.1092837639
568	0.1092749427
569	0.1092680419
570	0.1092599035
571	0.1092512923
572	0.1092358874
573	0.1092273895
574	0.1092197006
575	0.1092154731
576	0.1091983671
577	0.1091904537
578	0.1091761026
579	0.1091612621
580	0.1091577568
581	0.1091431212
582	0.1091383794
583	0.1091303288
584	0.1091208918
585	0.1091183539
586	0.1091093395
587	0.1091007249
588	0.1090894751
589	0.1090798609
590	0.1090727342
591	0.1090583992
592	0.1090451758
593	0.1090356494
594	0.1090269332
595	0.1090156285
596	0.1090016398
597	0.108994187
598	0.1089864159
599	0.1089756176
600	0.1089655839
601	0.1089548107
602	0.1089522011
603	0.1089442965
604	0.108929406
605	0.1089189171
606	0.108910094
607	0.1088972775
608	0.1088868554
609	0.1088727082
610	0.1088679613
611	0.1088578678
612	0.1088493758
613	0.1088382053
614	0.1088285484
615	0.1088215848
616	0.1088156811
617	0.1087974833
618	0.108785128
619	0.10878004
620	0.1087714829
621	0.1087650252
622	0.1087555316
623	0.10874906
624	0.1087389582
625	0.1087284713
626	0.1087137167
627	0.1087070566
628	0.1086939861
629	0.1086816074
630	0.1086788446
631	0.108673371
632	0.1086600245
633	0.1086487229
634	0.1086352802
635	0.1086259956
636	0.1086128123
637	0.10859943
638	0.1085891931
639	0.1085711923
640	0.1085663013
641	0.108561104
642	0.108553103
643	0.108543235
644	0.1085370684
645	0.1085267148
646	0.1085241727
647	0.1085110708
648	0.1084971962
649	0.108484746
650	0.1084819725
651	0.108474871
652	0.1084688567
653	0.1084596647
654	0.108452687
655	0.1084452886
656	0.1084338793
657	0.108427972
658	0.1084128595
659	0.1084067663
660	0.108399325
661	0.1083896231
662	0.1083829548
663	0.1083733931
664	0.1083683121
665	0.108364363
666	0.1083564968
667	0.1083359236
668	0.1083289311
669	0.1083197884
670	0.1083121259
671	0.108300431
672	0.1082883194
673	0.1082809485
674	0.1082731201
675	0.1082611412
676	0.1082527555
677	0.1082446609
678	0.1082375902
679	0.1082277564
680	0.108221188
681	0.1082142187
682	0.1082049081
683	0.1081920633
684	0.1081749676
685	0.1081595347
686	0.1081450873
687	0.1081382799
688	0.1081298467
689	0.1081177215
690	0.1081078712
691	0.1080947705
692	0.1080854901
693	0.1080768321
694	0.108069253
695	0.1080616861
696	0.1080559654
697	0.1080487084
698	0.1080421782
699	0.1080347456
700	0.1080231319
701	0.1080155661
702	0.1079997686
703	0.1079906391
704	0.1079848361
705	0.1079784618
706	0.107970678
707	0.1079575612
708	0.107945677
709	0.1079386846
710	0.1079290501
711	0.1079170137
712	0.107905705
713	0.107890474
714	0.1078777878
715	0.1078677949
716	0.1078533824
717	0.107844627
718	0.1078359772
719	0.1078234834
720	0.107812713
721	0.1077996184
722	0.1077878897
723	0.1077613787
724	0.107749541
725	0.1077398444
726	0.1077320454
727	0.1077180007
728	0.1077074552
729	0.1076990022
730	0.107692648
731	0.1076858942
732	0.1076754298
733	0.1076661145
734	0.1076584422
735	0.1076489042
736	0.1076344767
737	0.1076242388
738	0.1076166476
739	0.1076040577
740	0.1075924136
741	0.1075843138
742	0.1075790976
743	0.1075751061
744	0.1075655005
745	0.1075541915
746	0.1075438482
747	0.1075373595
748	0.1075235976
749	0.1075140174
750	0.1075077546
751	0.1074952848
752	0.1074920805
753	0.1074848614
754	0.1074709002
755	0.1074601846
756	0.1074561273
757	0.107445483
758	0.1074322151
759	0.1074210189
760	0.1074098263
761	0.1073993587
762	0.1073895448
763	0.1073786445
764	0.1073732441
765	0.1073649812
766	0.1073569562
767	0.1073478795
768	0.1073456441
769	0.1073336035
770	0.1073241235
771	0.1073191543
772	0.107311341
773	0.1072897144
774	0.1072826681
775	0.1072678196
776	0.1072496731
777	0.1072469248
778	0.1072368539
779	0.1072223221
780	0.1072156434
781	0.1072069843
782	0.1071955483
783	0.107187922
784	0.1071806114
785	0.1071772315
786	0.1071746683
787	0.1071628713
788	0.1071561692
789	0.1071505707
790	0.1071407687
791	0.1071354
792	0.1071261488
793	0.1071097595
794	0.1071017506
795	0.1070938902
796	0.1070860997
797	0.1070782168
798	0.1070690123
799	0.107057686
800	0.107049761
801	0.1070390645
802	0.1070242838
803	0.1070151621
804	0.1070098334
805	0.1070009184
806	0.10699026
807	0.106983703
808	0.1069755803
809	0.1069678972
810	0.1069617989
811	0.1069507267
812	0.1069431164
813	0.106929921
814	0.1069200673
815	0.106914649
816	0.106907643
817	0.1069024602
818	0.106892302
819	0.1068840471
820	0.1068748248
821	0.1068597882
822	0.106850404
823	0.1068347951
824	0.1068279201
825	0.1068203577
826	0.1068146112
827	0.1068072747
828	0.1067968108
829	0.1067847787
830	0.1067757147
831	0.1067674534
832	0.1067581505
833	0.1067470904
834	0.1067409304
835	0.106732667
836	0.1067243996
837	0.1067157591
838	0.1067002721
839	0.1066980529
840	0.1066867463
841	0.1066737779
842	0.1066670326
843	0.1066627508
844	0.1066552322
845	0.1066453669
846	0.1066394011
847	0.1066325621
848	0.1066205019
849	0.1066061321
850	0.1065983427
851	0.1065893661
852	0.1065823009
853	0.1065703554
854	0.1065625832
855	0.1065518782
856	0.1065402143
857	0.1065316345
858	0.1065245346
859	0.1065045135
860	0.1065010623
861	0.1064922975
862	0.1064859181
863	0.1064818195
864	0.1064758702
865	0.1064623729
866	0.1064565494
867	0.1064521909
868	0.1064430898
869	0.1064337017
870	0.1064214289
871	0.1064130228
872	0.1064041053
873	0.1064023134
874	0.1063945971
875	0.1063867598
876	0.1063801179
877	0.1063712908
878	0.106366725
879	0.1063562124
880	0.1063496764
881	0.1063388682
882	0.1063282313
883	0.1063141706
884	0.1063085921
885	0.1062934837
886	0.1062884529
887	0.1062831106
888	0.1062765179
889	0.1062665685
890	0.1062582611
891	0.1062524601
892	0.1062434287
893	0.1062369124
894	0.1062279166
895	0.1062243964
896	0.1062196463
897	0.1062135779
898	0.1061973765
899	0.1061797377
900	0.1061670451
901	0.1061582223
902	0.1061516367
903	0.1061403832
904	0.1061308083
905	0.1061262244
906	0.1061233875
907	0.1061140484
908	0.1061004758
909	0.1060926047
910	0.1060873573
911	0.106080013
912	0.1060654219
913	0.1060540453
914	0.1060465828
915	0.1060416881
916	0.1060332058
917	0.1060212472
918	0.1060158579
919	0.1060067196
920	0.1060029582
921	0.1059956176
922	0.1059871869
923	0.1059769923
924	0.1059721585
925	0.1059599
926	0.1059581432
927	0.1059518381
928	0.105939344
929	0.1059275338
930	0.105918415
931	0.1059075308
932	0.1059022704
933	0.1059003744
934	0.105892419
935	0.1058870798
936	0.1058769914
937	0.1058731956
938	0.1058627462
939	0.1058573341
940	0.105841976
941	0.1058356788
942	0.1058296383
943	0.1058172254
944	0.1058090994
945	0.1058010701
946	0.1057947713
947	0.1057834588
948	0.1057744526
949	0.1057717996
950	0.1057596132
951	0.1057470982
952	0.1057403597
953	0.1057294784
954	0.1057242948
955	0.1057132354
956	0.1057051205
957	0.105693662
958	0.1056834867
959	0.1056764045
960	0.1056727547
961	0.1056644335
962	0.105647323
963	0.1056425267
964	0.105634249
965	0.1056262053
966	0.1056196438
967	0.1056127783
968	0.1056053867
969	0.1055966107
970	0.1055848115
971	0.1055717297
972	0.105560355
973	0.1055516656
974	0.1055465823
975	0.1055392233
976	0.1055328576
977	0.1055261716
978	0.1055186918
979	0.1055125547
980	0.1055088253
981	0.1054944654
982	0.1054877294
983	0.1054808495
984	0.1054722505
985	0.105462845
986	0.1054469808
987	0.1054397153
988	0.105433865
989	0.1054279866
990	0.1054194335
991	0.1054063681
992	0.1053984534
993	0.1053861642
994	0.1053819417
995	0.1053757249
996	0.1053727876
997	0.1053641115
998	0.1053541405
999	0.1053436087
99	0.1053013765
